name,position,shirt_no
Jackson Tchatchoua,Right-Back,38
Reda Belahyane,Defensive Midfield,6
Charlys,Defensive Midfield,37
Joselito,Defensive Midfield,14
Michael Folorunsho,Central Midfield,90
Suat Serdar,Central Midfield,25
Ondrej Duda,Central Midfield,33
Dani Silva,Central Midfield,21
Darko Lazović,Left Midfield,8
Tomas Suslov,Attacking Midfield,31
Stefan Mitrović,Left Winger,10
Tijjani Noslin,Right Winger,17
Elayis Tavsan,Right Winger,7
Karol Świderski,Centre-Forward,11
Thomas Henry,Centre-Forward,9
Federico Bonazzoli,Centre-Forward,99
Juan Manuel Cruz,Centre-Forward,13
